      # File         Hex       Zrank         RMS    IS-Score      IS-RMS     IS-iRMS
      16_18_0049.pdb  -203.75999    -8.41227    18.20000     0.13600     7.23100     0.61000
      16_18_0050.pdb  -202.70000   -17.02980    22.13000     0.13300     9.46300     0.60000
      16_18_0051.pdb  -199.32001    -9.59750     8.86000     0.16940     3.00500     1.24000
      16_18_0052.pdb  -197.92999   -10.46720    14.12000     0.11110     5.56800     0.86000
      16_18_0053.pdb  -197.78999   -21.39280     3.32000     0.31780     2.07600     1.93000
      16_18_0054.pdb  -195.17000   -26.56390    19.78000     0.14870     8.16400     0.53000
      16_18_0055.pdb  -195.12000   -28.81740    16.40000     0.16960     6.58000     1.05000
      16_18_0056.pdb  -194.50999    -2.21442     8.71000     0.09440     4.87400     0.53000
      16_18_0057.pdb  -194.14000    25.61300    10.97000     0.15850     4.42900     0.53000
      16_18_0058.pdb  -193.89999   -14.32080    10.63000     0.18440     3.99400     0.53000
      16_18_0059.pdb  -193.57001   -21.01470    20.95000     0.12800     9.43600     0.59000
      16_18_0060.pdb  -193.39000   -20.33010    12.47000     0.09420     5.91000     0.53000
      16_18_0061.pdb  -193.25999   -29.53310     8.73000     0.11290     4.61700     0.53000
      16_18_0062.pdb  -193.17999   -16.24870    12.36000     0.19840     4.70500     0.53000
      16_18_0063.pdb  -192.82001    -2.60989    10.34000     0.13350     3.68800     0.86000
      16_18_0064.pdb  -191.55000   -13.77470    13.02000     0.09700     6.07300     1.52000
      16_18_0065.pdb  -191.21001    -5.43902    16.62000     0.15310     6.44000     1.23000
      16_18_0066.pdb  -191.00999   -23.56680     6.09000     0.12030     3.98400     1.58000
      16_18_0067.pdb  -190.70000   -36.83240    18.72000     0.18890     6.45300     1.14000
      16_18_0068.pdb  -190.25999   -21.82030    21.10000     0.12850     8.45200     1.01000
      16_18_0069.pdb  -189.95000    -4.69355     7.07000     0.15220     4.56600     0.86000
      16_18_0070.pdb  -189.64999   -20.22910    20.94000     0.14230     8.72700     0.59000
      16_18_0071.pdb  -189.48000    -0.35081    12.02000     0.11680     5.43000     1.70000
      16_18_0072.pdb  -188.55000   -10.53750    11.92000     0.06360     5.17000     3.51000
      16_18_0073.pdb  -188.10001   -31.23800    15.13000     0.18000     6.49400     0.53000
      16_18_0074.pdb  -187.96001     5.43707    20.42000     0.07740     8.56300     1.23000
      16_18_0075.pdb  -187.34000    -9.21431    10.53000     0.17030     2.82400     1.22000
      16_18_0076.pdb  -187.25999   -37.43550    21.58000     0.12730     9.81100     0.97000
      16_18_0077.pdb  -187.22000    -9.39779    10.24000     0.13530     5.50700     0.86000
      16_18_0078.pdb  -187.21001   -34.03510    11.32000     0.06360     5.19800     3.63000
      16_18_0079.pdb  -186.91000   -25.20090    17.19000     0.12880     7.12300     1.33000
      16_18_0080.pdb  -186.45000   -31.04060    11.52000     0.17390     4.95400     1.18000
      16_18_0081.pdb  -186.00999    -9.59197    21.55000     0.13700    10.51100     1.40000
      16_18_0082.pdb  -185.83000    -3.68333    15.12000     0.11090     6.48600     0.53000
      16_18_0083.pdb  -185.60001   -22.49260    15.45000     0.16640     5.68900     1.55000
      16_18_0084.pdb  -185.34000   -14.65230     8.16000     0.09430     4.49500     0.53000
      16_18_0085.pdb  -185.06000   -26.06590    15.01000     0.12200     5.84800     0.91000
      16_18_0086.pdb  -184.99001    -9.20810    21.52000     0.10570     9.23100     0.95000
      16_18_0087.pdb  -184.71001   -33.31900    21.66000     0.09600     8.28600     1.25000
      16_18_0088.pdb  -184.46001     3.78680     5.81000     0.12390     4.11000     0.86000
      16_18_0089.pdb  -184.28000     4.56850     9.35000     0.15700     4.38100     1.04000
      16_18_0090.pdb  -183.73000   -17.47980    10.01000     0.09520     4.65000     1.12000
      16_18_0091.pdb  -183.58000   -25.35230    22.41000     0.09800    10.79200     0.86000
      16_18_0092.pdb  -183.32001    -0.01969    20.50000     0.14440     8.75900     1.04000
      16_18_0093.pdb  -183.24001   -11.41570     9.73000     0.06360     4.66400     3.50000
      16_18_0094.pdb  -182.64000   -25.10540    21.74000     0.11840     9.55200     1.18000
      16_18_0095.pdb  -182.52000    -7.60987    22.11000     0.10920     9.99400     0.86000
      16_18_0096.pdb  -182.46001   -15.52810    21.24000     0.10590     9.51500     0.86000
      16_18_0097.pdb  -182.21001   -16.26920    12.49000     0.12300     4.85800     0.53000
      16_18_0098.pdb  -180.78999    12.39930    12.88000     0.13600     5.32200     0.86000
      16_18_0099.pdb  -179.28999     1.37300    14.46000     0.19200     5.16000     1.35000
      16_18_0100.pdb  -178.75000    -7.79381    12.19000     0.13620     4.95300     0.96000
      # File         Hex       Zrank         RMS    IS-Score      IS-RMS     IS-iRMS
        7_2_0001.pdb  -318.95999   -48.89100     7.86000     0.37630     2.26200     1.90000
        7_2_0002.pdb  -286.92999    -4.05635     8.30000     0.14170     4.78700     0.52000
        7_2_0003.pdb  -266.81000   -16.36060    12.59000     0.16190     6.28400     1.25000
        7_2_0004.pdb  -264.79001   -48.58920    14.22000     0.14140     6.03300     1.08000
        7_2_0005.pdb  -263.95001   -46.96560     4.71000     0.50870     1.28900     1.29000
        7_2_0006.pdb  -253.17999   -15.26390    22.07000     0.10090     9.46400     0.79000
        7_2_0007.pdb  -253.07001     3.85013     8.22000     0.15230     4.77500     0.52000
        7_2_0008.pdb  -252.97000   -68.41590     1.25000     0.67760     0.68000     0.68000
        7_2_0009.pdb  -251.86000   -37.32190    22.57000     0.11590     9.95200     1.06000
        7_2_0010.pdb  -250.95000   -29.50200     9.48000     0.21870     4.69900     0.52000
        7_2_0011.pdb  -250.21001     0.60497     9.81000     0.15080     4.92100     0.68000
        7_2_0012.pdb  -246.36000   -15.79160     9.62000     0.12400     4.45000     1.19000
        7_2_0013.pdb  -244.95000     0.42188    14.47000     0.18600     5.19300     1.38000
        7_2_0014.pdb  -239.98000    -3.08453     7.73000     0.16110     4.54500     0.52000
        7_2_0015.pdb  -236.17000     5.10602    20.51000     0.07700     7.90400     0.90000
        7_2_0016.pdb  -235.12000    -5.47100     6.94000     0.20540     3.38800     1.61000
        7_2_0017.pdb  -230.61000    -7.67693    14.31000     0.12780     4.27300     1.06000
        7_2_0018.pdb  -228.61000    -4.47056    12.10000     0.18490     5.23100     0.97000
        7_2_0019.pdb  -228.55000     1.08602     7.49000     0.14510     4.34500     0.89000
        7_2_0020.pdb  -226.75999   -15.97500    19.63000     0.08440     7.85000     0.68000
        7_2_0021.pdb  -225.66000     1.13800    14.64000     0.11120     6.26000     0.52000
        7_2_0022.pdb  -221.63000   -36.56320     7.38000     0.11260     4.54700     1.03000
        7_2_0023.pdb  -220.84000   -18.96090     6.88000     0.33020     2.55900     1.80000
        7_2_0024.pdb  -220.72000   -26.43990    19.63000     0.14820     8.24200     0.52000
        7_2_0025.pdb  -220.17000   -28.65170     5.69000     0.22000     1.94700     1.95000
        7_2_0026.pdb  -218.78999   -18.80600    11.05000     0.18750     4.71500     1.45000
        7_2_0027.pdb  -217.94000   -28.35960    13.52000     0.08700     6.25500     0.68000
        7_2_0028.pdb  -214.89000   -26.72180    22.34000     0.15030     9.61200     0.66000
        7_2_0029.pdb  -211.38000   -26.33520    18.71000     0.11540     7.16300     1.07000
        7_2_0030.pdb  -210.92000   -32.39780    10.44000     0.08530     4.83200     0.68000
        7_2_0031.pdb  -209.89999   -29.48920    12.06000     0.21360     4.65500     0.52000
        7_2_0032.pdb  -208.99001     1.57826    16.47000     0.12270     7.13100     1.48000
        7_2_0033.pdb  -207.44000   -34.63370     8.53000     0.19820     3.82900     1.62000
        7_2_0034.pdb  -207.05000   -14.17310    17.84000     0.08850     7.41100     0.88000
        7_2_0035.pdb  -206.85001   -22.62690    12.76000     0.11590     5.95400     0.52000
        7_2_0036.pdb  -206.34000   -18.03210    20.80000     0.14480     9.17300     0.86000
        7_2_0037.pdb  -205.95000   -22.73320    16.04000     0.13760     5.97400     1.30000
        7_2_0038.pdb  -205.60001    -1.85727    21.76000     0.08050    10.29700     0.91000
        7_2_0039.pdb  -205.17000    24.15050     8.33000     0.09450     4.59900     0.52000
        7_2_0040.pdb  -204.22000   -21.26970    12.06000     0.08430     5.28600     0.68000
        7_2_0041.pdb  -200.25999   -15.85280    21.96000     0.12540     9.51500     0.58000
        7_2_0042.pdb  -199.86000    -4.85053    12.09000     0.07270     5.16000     0.68000
        7_2_0043.pdb  -199.67999   -39.86960    16.91000     0.14460     7.45300     0.79000
        7_2_0044.pdb  -199.55000   -38.93610    22.37000     0.12350     9.68900     0.78000
        7_2_0045.pdb  -198.33000    10.00610    13.03000     0.14150     5.15900     0.68000
        7_2_0046.pdb  -198.19000    -8.15547    13.20000     0.13700     5.72100     0.68000
        7_2_0047.pdb  -197.89000    16.42130    11.06000     0.08250     5.34700     0.52000
        7_2_0048.pdb  -197.86000    -3.68353    14.89000     0.12170     6.98900     0.68000
        7_2_0049.pdb  -197.53000   -20.30090    20.73000     0.10230     9.43200     0.65000
        7_2_0050.pdb  -197.36000   -26.78380    13.72000     0.14250     5.98500     1.67000
        7_2_0051.pdb  -196.70000    -5.87643    19.32000     0.09640     8.08200     1.40000
        7_2_0052.pdb  -196.64999   -20.50060    15.38000     0.14440     6.19800     1.02000
        7_2_0053.pdb  -196.25999   -29.65990    20.42000     0.13230     9.41700     1.17000
        7_2_0054.pdb  -195.50000   -19.17650    21.37000     0.10560     9.07200     0.79000
        7_2_0055.pdb  -195.44000   -19.10480    16.47000     0.13220     7.13700     1.34000
        7_2_0056.pdb  -195.11000   -23.70310    18.06000     0.13650     8.62300     1.11000
        7_2_0057.pdb  -195.11000   -18.63110    20.97000     0.13600     9.00200     0.62000
        7_2_0058.pdb  -194.72000   -31.32510    15.03000     0.18010     6.56100     0.52000
        7_2_0059.pdb  -194.25999   -20.47760    17.30000     0.11290     7.85300     1.35000
        7_2_0060.pdb  -193.42000   -40.70250    11.30000     0.13440     4.61300     0.68000
        7_2_0061.pdb  -192.60001    18.40980    13.01000     0.18700     5.68400     1.48000
        7_2_0062.pdb  -192.24001   -12.76560    18.65000     0.12300     7.80000     1.23000
        7_2_0063.pdb  -192.00000    17.04430    15.54000     0.15370     6.17700     1.40000
        7_2_0064.pdb  -191.91000    17.78710     5.82000     0.12780     4.15400     0.68000
        7_2_0065.pdb  -191.78999   -17.78170     6.97000     0.15290     4.41000     0.68000
        7_2_0066.pdb  -190.84000    -3.02402    13.80000     0.15380     6.57200     1.33000
        7_2_0067.pdb  -189.94000   -22.84820    18.82000     0.10670     6.65800     0.68000
        7_2_0068.pdb  -189.78000    -9.56222    21.83000     0.10920     9.73600     0.68000
        7_2_0069.pdb  -189.52000   -20.59860    17.99000     0.14120     7.00400     1.06000
        7_2_0070.pdb  -189.42000   -18.68640    14.09000     0.11830     5.45400     0.68000
        7_2_0071.pdb  -188.47000    18.43290    20.60000     0.11360     9.24100     0.94000
        7_2_0072.pdb  -188.38000     5.58233    11.55000     0.30760     3.18000     1.14000
        7_2_0073.pdb  -187.09000   -16.51900    21.61000     0.08790     9.87200     1.07000
        7_2_0074.pdb  -186.41000    -8.62409    10.77000     0.17060     2.88200     1.21000
        7_2_0075.pdb  -184.49001   -38.72710    11.43000     0.16110     4.86400     1.85000
        7_2_0076.pdb  -183.69000   -27.08600    14.98000     0.12350     5.79800     1.27000
        7_2_0077.pdb  -182.83000   -10.56710    13.05000     0.06360     5.66800     3.01000
        7_2_0078.pdb  -182.41000    -7.55275    10.59000     0.10790     5.33700     0.52000
        7_2_0079.pdb  -181.58000    -8.91543    15.93000     0.11170     6.21900     1.38000
        7_2_0080.pdb  -181.23000     8.39243     9.81000     0.14010     5.24100     0.68000
        7_2_0081.pdb  -181.06000   -21.06820     8.14000     0.10720     4.34300     0.52000
        7_2_0082.pdb  -180.87000     4.84877    20.35000     0.15130     8.77600     0.90000
        7_2_0083.pdb  -179.49001   -18.28910    12.77000     0.12540     3.42300     0.52000
        7_2_0084.pdb  -179.48000    -8.74914    20.32000     0.09530     9.03100     0.93000
        7_2_0085.pdb  -179.14000    -9.17167    15.67000     0.08580     7.40700     1.03000
        7_2_0086.pdb  -176.75000    -8.44984    13.43000     0.08690     6.08300     0.52000
        7_2_0087.pdb  -175.87000   -20.92740    22.16000     0.11830     9.72000     1.58000
        7_2_0088.pdb  -175.24001    -0.90871    18.78000     0.11510     8.52700     1.65000
        7_2_0089.pdb  -174.19000    -9.65474     9.63000     0.15220     3.15500     1.71000
        7_2_0090.pdb  -173.97000    -7.88138    15.56000     0.11160     6.01800     1.39000
        7_2_0091.pdb  -173.85001   -15.87510    15.45000     0.13710     6.23200     1.26000
        7_2_0092.pdb  -173.69000   -10.11490    10.74000     0.16110     5.23600     0.52000
        7_2_0093.pdb  -173.61000    -8.81179    11.56000     0.13450     5.60100     1.19000
        7_2_0094.pdb  -173.17000   -42.21740    14.66000     0.14570     5.76800     2.07000
        7_2_0095.pdb  -173.02000   -25.75460    11.35000     0.18740     4.69900     1.17000
        7_2_0096.pdb  -172.82001   -17.59380    19.40000     0.10910     8.95400     0.68000
        7_2_0097.pdb  -172.63000   -10.10680    12.13000     0.13150     5.06100     0.78000
        7_2_0098.pdb  -172.57001   -17.59120    19.14000     0.13110     8.22100     0.82000
        7_2_0099.pdb  -172.50000   -18.99170    21.78000     0.07800     9.19700     0.94000
        7_2_0100.pdb  -172.44000     3.53370    10.29000     0.14570     4.92000     0.68000
      # File         Hex       Zrank         RMS    IS-Score      IS-RMS     IS-iRMS
        1_3_0001.pdb  -297.04001   -50.03900     5.71000     0.37500     1.82800     1.83000
        1_3_0002.pdb  -296.72000   -26.64490    21.13000     0.08050     9.13000     1.00000
        1_3_0003.pdb  -281.53000   -32.14990     9.40000     0.20650     4.63200     0.52000
        1_3_0004.pdb  -278.26001   -30.77940    22.69000     0.13380     9.73900     0.57000
        1_3_0005.pdb  -276.98999   -38.34500     7.82000     0.38300     2.35400     2.16000
        1_3_0006.pdb  -275.01999   -13.56800     8.27000     0.11740     4.81100     0.52000
        1_3_0007.pdb  -270.95001   -13.94000     7.72000     0.15930     4.59700     0.52000
        1_3_0008.pdb  -270.51001   -11.23460    10.19000     0.13130     4.64700     1.16000
        1_3_0009.pdb  -267.97000   -10.38670    11.75000     0.17410     5.07700     1.17000
        1_3_0010.pdb  -260.64999   -17.63200    22.24000     0.09910     9.50500     1.38000
        1_3_0011.pdb  -260.22000   -33.29390    15.48000     0.13270     6.22200     1.68000
        1_3_0012.pdb  -258.29999    44.04980    11.92000     0.18470     5.77900     1.56000
        1_3_0013.pdb  -257.39001    18.24140    13.59000     0.17580     5.95000     1.76000
        1_3_0014.pdb  -254.14999   -44.70610    13.78000     0.13790     5.87700     1.06000
        1_3_0015.pdb  -252.84000   -13.13910     9.80000     0.15230     5.02000     1.27000
        1_3_0016.pdb  -251.27000    15.15000     8.71000     0.11600     4.64400     1.06000
        1_3_0017.pdb  -250.10001   -13.55080     6.86000     0.33550     2.64800     1.94000
        1_3_0018.pdb  -244.46001   -28.52260    22.50000     0.12640     9.58200     0.73000
        1_3_0019.pdb  -241.05000   -20.56920    16.06000     0.11690     6.88900     1.49000
        1_3_0020.pdb  -239.69000    27.21790    15.81000     0.14260     7.56500     0.97000
        1_3_0021.pdb  -238.24001   -28.46290    10.71000     0.12990     5.26800     0.52000
        1_3_0022.pdb  -236.28000   -22.94880     7.48000     0.12240     4.63500     1.05000
        1_3_0023.pdb  -236.17999   -21.61050     5.61000     0.27030     2.02000     2.02000
        1_3_0024.pdb  -235.77000   -27.14520     7.07000     0.20100     3.29300     1.69000
        1_3_0025.pdb  -233.25000    -5.22482    14.53000     0.18660     5.22000     1.37000
        1_3_0026.pdb  -231.92999   -68.25330     1.31000     0.62440     0.89300     0.89000
        1_3_0027.pdb  -231.67999    19.32030     7.07000     0.14240     4.29500     1.07000
        1_3_0028.pdb  -231.64999   -14.87640    12.58000     0.07930     6.06500     1.06000
        1_3_0029.pdb  -230.62000   -17.11630     6.79000     0.18140     2.81600     1.66000
        1_3_0030.pdb  -230.13000    37.92590    11.83000     0.14990     5.63600     1.26000
        1_3_0031.pdb  -228.95000   -11.43550     5.35000     0.29260     2.51300     1.98000
        1_3_0032.pdb  -228.75000   -29.70650    12.13000     0.14300     5.29200     1.26000
        1_3_0033.pdb  -225.58000    -3.19541    11.08000     0.19570     4.31200     0.52000
        1_3_0034.pdb  -224.08000   -44.61700     4.64000     0.38620     1.79300     1.56000
        1_3_0035.pdb  -222.77000    -3.97887     8.29000     0.09500     4.76300     0.52000
        1_3_0036.pdb  -221.88000    34.82080     7.45000     0.14400     4.61400     0.52000
        1_3_0037.pdb  -218.50000     5.23095    14.61000     0.11110     6.32600     0.52000
        1_3_0038.pdb  -218.25000   -44.85910    15.90000     0.17300     6.21000     1.00000
        1_3_0039.pdb  -217.34000    -0.64997    14.12000     0.13640     4.20600     1.11000
        1_3_0040.pdb  -217.22000   -10.42630    18.76000     0.12270     7.82800     1.48000
        1_3_0041.pdb  -216.84000    -2.25371    10.74000     0.12830     4.85100     0.52000
        1_3_0042.pdb  -215.78999   -14.70200    13.01000     0.08210     6.08900     1.51000
        1_3_0043.pdb  -215.59000   -13.88210    21.79000     0.12510    10.70800     1.52000
        1_3_0044.pdb  -214.66000   -14.84970    18.24000     0.13310     7.54300     0.52000
        1_3_0045.pdb  -214.28999   -27.48250    15.32000     0.13860     6.52800     1.36000
        1_3_0046.pdb  -213.92000   -26.35000    16.62000     0.13970     7.32800     1.48000
        1_3_0047.pdb  -212.85001   -11.73230    15.01000     0.15590     6.19500     0.92000
        1_3_0048.pdb  -212.72000    -2.79080    12.06000     0.11670     5.39800     1.69000
        1_3_0049.pdb  -211.53999     2.26309    14.44000     0.11820     6.16300     1.40000
        1_3_0050.pdb  -209.89999   -16.44430    14.09000     0.10910     5.56700     1.06000
        1_3_0051.pdb  -209.07001   -49.03430    17.04000     0.12100     6.37000     1.84000
        1_3_0052.pdb  -208.17999    -0.66045    21.78000     0.09740     8.44100     1.23000
        1_3_0053.pdb  -208.00000   -16.90380    20.93000     0.12800     9.40000     0.60000
        1_3_0054.pdb  -207.92999     6.50795     5.81000     0.12390     4.19000     1.06000
        1_3_0055.pdb  -207.19000    -5.98962    16.65000     0.15070     6.18800     1.73000
        1_3_0056.pdb  -204.25999    -7.88930    19.25000     0.12870     8.08700     1.32000
        1_3_0057.pdb  -204.17000    -6.23706     9.91000     0.13520     5.26300     1.06000
        1_3_0058.pdb  -203.42000   -16.19910    11.42000     0.16000     5.45200     1.28000
        1_3_0059.pdb  -203.10001   -17.25020    10.57000     0.17110     2.78300     1.33000
        1_3_0060.pdb  -202.56000   -31.24170     8.73000     0.11100     4.58300     0.52000
        1_3_0061.pdb  -202.44000    -9.37776     8.58000     0.21360     3.91400     1.81000
        1_3_0062.pdb  -202.16000   -14.97660    13.32000     0.17970     6.71500     1.38000
        1_3_0063.pdb  -199.81000    -8.51473    17.20000     0.14800     7.03700     0.96000
        1_3_0064.pdb  -199.57001    -8.87764    11.86000     0.13310     5.08000     1.33000
        1_3_0065.pdb  -199.14000   -24.10150    22.10000     0.13320     9.43400     0.57000
        1_3_0066.pdb  -198.50999   -13.80760    20.08000     0.10910     9.44600     1.06000
        1_3_0067.pdb  -198.46001   -18.75350    17.48000     0.08970     7.97000     1.30000
        1_3_0068.pdb  -197.53000   -28.56430    21.59000     0.13430     9.34100     0.89000
        1_3_0069.pdb  -196.10001   -10.83200    21.89000     0.10930     9.71900     1.06000
        1_3_0070.pdb  -196.02000   -16.72230    22.68000     0.14380     9.34500     0.69000
        1_3_0071.pdb  -195.86000   -14.23560    22.38000     0.13930     9.67100     1.03000
        1_3_0072.pdb  -194.39999    12.79260    20.48000     0.14150     8.70600     1.21000
        1_3_0073.pdb  -194.11000    -4.51863    21.37000     0.11150     8.95100     1.13000
        1_3_0074.pdb  -193.55000    -9.44334     9.29000     0.12040     4.64300     0.52000
        1_3_0075.pdb  -192.98000    10.90710    12.77000     0.14550     6.20600     1.18000
        1_3_0076.pdb  -192.89000   -33.63110    13.14000     0.17600     5.29800     0.52000
        1_3_0077.pdb  -192.55000   -35.79920    18.69000     0.18980     6.37500     1.11000
        1_3_0078.pdb  -192.09000     0.02334    13.94000     0.10510     5.88200     0.52000
        1_3_0079.pdb  -191.67999    -8.04903    19.52000     0.14430     7.23800     0.93000
        1_3_0080.pdb  -191.08000   -16.02220     9.41000     0.16320     3.11000     1.74000
        1_3_0081.pdb  -190.09000    20.86670    12.94000     0.14340     5.29700     1.06000
        1_3_0082.pdb  -189.89999    -8.70837    10.38000     0.16020     3.64900     1.06000
        1_3_0083.pdb  -189.75000    -9.02270     9.44000     0.08250     4.47600     0.52000
        1_3_0084.pdb  -189.28999     7.81692    13.98000     0.12790     5.69100     1.19000
        1_3_0085.pdb  -189.28999   -20.42120     5.68000     0.11830     3.80400     1.27000
        1_3_0086.pdb  -189.28000    -8.92227    18.20000     0.13610     8.80400     1.06000
        1_3_0087.pdb  -187.95000    -2.58550    11.85000     0.13110     5.66500     1.56000
        1_3_0088.pdb  -187.86000    -6.00212    18.12000     0.12200     7.93800     2.03000
        1_3_0089.pdb  -187.42999    -1.57305    19.73000     0.08700     7.79600     1.06000
        1_3_0090.pdb  -186.70000    -3.55418    18.17000     0.14130     7.25100     0.58000
        1_3_0091.pdb  -186.02000   -14.22470    19.22000     0.12830     8.98800     1.38000
        1_3_0092.pdb  -185.94000    20.68630     9.76000     0.21870     3.63700     0.52000
        1_3_0093.pdb  -185.92000    -6.87568    11.93000     0.06360     5.09000     3.41000
        1_3_0094.pdb  -185.39000     3.44285    22.12000     0.10580     9.48300     1.42000
        1_3_0095.pdb  -185.23000   -23.36730     9.12000     0.17440     4.70700     1.31000
        1_3_0096.pdb  -185.06000    -4.99076    14.42000     0.10150     6.33800     2.48000
        1_3_0097.pdb  -184.92000   -31.98360    22.30000     0.13840     9.68300     1.60000
        1_3_0098.pdb  -184.89000   -15.84370     7.01000     0.28960     2.71500     1.81000
        1_3_0099.pdb  -184.53000   -24.04560    21.06000     0.12880     8.44900     0.96000
        1_3_0100.pdb  -183.87000   -34.80900    13.82000     0.13810     6.01500     1.55000
      # File         Hex       Zrank         RMS    IS-Score      IS-RMS     IS-iRMS
       5_24_0001.pdb  -347.39001   -16.34070     8.33000     0.19350     4.76300     0.54000
       5_24_0002.pdb  -288.92001   -67.94430     1.98000     0.57690     0.72000     0.72000
       5_24_0003.pdb  -287.10999    -3.03661    14.50000     0.17000     5.36700     1.40000
       5_24_0004.pdb  -273.63000   -40.66490    13.53000     0.14010     5.75000     0.49000
       5_24_0005.pdb  -270.98999   -20.74650     9.58000     0.20040     3.96000     1.05000
       5_24_0006.pdb  -268.51001   -51.73700    22.67000     0.11650    10.17700     0.98000
       5_24_0007.pdb  -268.07999   -37.72160     9.60000     0.25420     3.03100     1.79000
       5_24_0008.pdb  -265.94000     1.52537     9.20000     0.15210     4.67600     0.49000
       5_24_0009.pdb  -263.91000    -4.64591    20.53000     0.07680     7.87700     1.00000
       5_24_0010.pdb  -255.32001    74.98770    11.91000     0.16590     5.49200     1.12000
       5_24_0011.pdb  -252.09000   -23.62710    22.12000     0.07770     9.48700     1.38000
       5_24_0012.pdb  -249.88000   -20.72610    15.44000     0.12030     6.39600     1.20000
       5_24_0013.pdb  -247.59000   -34.32060    20.65000     0.13770     9.19700     0.69000
       5_24_0014.pdb  -240.92000    -8.56570    18.07000     0.14060     8.60200     1.16000
       5_24_0015.pdb  -240.60001   -26.05430    14.02000     0.11780     5.45500     0.49000
